LAcode,LAname,Nocarvan,Unemp,LLTI,Sochous,Ethnic,Troutine,random
E07000088,Gosport,22.85351397,6.908804731,17.54980514,16.41264465,5.592941347,28.95006639,0
E07000089,Hart,8.042804844,3.734819498,12.0231125,7.654181921,9.336174794,15.67630548,0
E07000090,Havant,20.70316306,6.943431607,19.34224918,19.56110775,4.776938119,28.39519056,0
E07000091,New Forest,13.31615456,4.483233143,19.25740386,10.98400552,5.109882014,23.82490104,1
E07000092,Rushmoor,16.62447722,5.719522334,13.25594039,16.30805635,19.50387498,24.75018664,0
E07000093,Test Valley,13.49263008,4.193251277,15.22277015,14.39129887,7.435694771,22.383405,0
E07000094,Winchester,14.30705217,4.656458033,14.5177752,15.45503041,8.169304001,16.13113202,0
E07000105,Ashford,15.79509072,6.127874293,16.17976195,14.47046268,10.56156533,24.78279447,0
E07000106,Canterbury,22.9254085,8.195841911,18.07403487,12.19167037,12.48866982,20.53152404,1
E07000107,Dartford,19.17117836,6.806131858,15.13377497,14.83745416,17.35633955,24.62830553,0
E07000108,Dover,23.48996067,7.669381324,20.82579651,14.20823846,7.007897989,28.34278217,0
E07000109,Gravesham,22.87106428,8.392327467,17.04876131,17.3332344,22.90405033,29.03089178,0
E07000110,Maidstone,16.12684603,5.487858333,15.79510516,12.71297303,10.89833251,23.40171861,0
E07000111,Sevenoaks,13.06252658,4.715452943,14.87557989,13.22415993,9.012733587,18.58388755,0
E07000112,Shepway,23.65605015,8.053956763,21.0412248,11.20960763,9.206346266,26.48258872,0
E07000113,Swale,20.12053612,7.687753336,18.64173446,14.28802735,7.144697611,29.027351,0
E07000114,Thanet,29.75820409,10.1535865,23.36160255,12.66445987,9.568807476,29.02109008,1
E07000115,Tonbridge and Malling,13.75155796,4.95488105,14.85534539,16.12380557,7.568395348,21.94597096,0
E07000116,Tunbridge Wells,17.4651291,4.698137722,14.22958913,15.15241447,10.37297152,19.61682835,0
E07000177,Cherwell,15.63425469,4.328827164,14.14836327,12.11394726,13.65847125,25.83640783,0
E07000178,Oxford,33.49345372,6.972854401,12.40964807,21.35981941,36.38631785,17.18381925,0
E07000179,South Oxfordshire,11.61466805,3.858742463,13.77954222,11.39102469,9.067683622,19.13986707,0
E07000180,Vale of White Horse,13.10745441,3.953282269,14.20306146,13.32402291,10.2398585,19.82463962,0
E07000181,West Oxfordshire,11.94236951,3.506676412,14.4580498,12.45808376,7.428969545,22.00674868,0
E07000207,Elmbridge,11.76637315,4.234743375,12.09627507,9.859793659,20.14670487,12.98205961,0
E07000208,Epsom and Ewell,14.40370669,4.700932395,13.40310511,8.024442654,21.3749301,15.29259738,0
E07000209,Guildford,13.86804513,5.04757615,12.62255527,12.79899209,16.52755808,15.33305897,0
E07000210,Mole Valley,12.31718209,4.077513121,14.69048316,12.20553757,9.918594436,15.15515483,1
E07000211,Reigate and Banstead,13.8029338,4.621528307,13.97758189,11.917435,15.04915297,16.79186875,0
E07000212,Runnymede,14.70624198,5.155411611,13.85542169,12.86910803,20.0136629,17.15585436,0
