LAcode,LAname,Ocrowd,Noheat,Lonep,Nocarvan,Noquals,Unemp,LLTI,Sochous,Ethnic,Sroutine,Routine
E06000033,Southend-on-Sea,9.581135006,2.163957256,10.51447548,27.2945178,15.92835745,8.082693609,18.49382119,11.51209191,12.96916929,14.18800547,9.601062341
E06000034,Thurrock,8.97150097,2.662261639,11.15263099,20.09045274,18.30905538,8.458576274,15.56703973,18.44819014,19.09768238,16.00802636,13.59398549
E07000008,Cambridge,14.07500963,2.560260307,6.875883033,33.61304962,7.078309958,5.592245071,12.96874874,23.59678041,34.00825079,8.411424153,6.533174608
E07000009,East Cambridgeshire,3.819263882,1.727624661,6.615820188,13.02941007,12.39139429,4.446849772,15.39287504,14.283238,10.26032594,13.82547683,10.21840103
E07000010,Fenland,5.324963072,2.023633678,9.175283112,18.12900049,20.3826716,7.086325505,21.02622242,12.44214673,9.564149399,19.49810852,15.79600913
E07000011,Huntingdonshire,4.363001745,1.863470497,8.094269684,13.61689239,11.8672456,4.918413116,14.92731906,12.89285045,10.5092385,13.62628245,10.13993267
E07000012,South Cambridgeshire,3.910940627,1.514342895,6.8245497,10.95897265,8.616863905,3.660449933,13.93432154,14.25283522,12.73436187,10.47049982,7.321463365
E07000066,Basildon,7.141286119,1.180820939,11.56352239,21.94209991,17.59680172,7.468428344,17.3848261,21.96134495,10.47697095,14.88214953,11.50204698
E07000067,Braintree,4.813000672,1.867535999,9.781629343,16.16237734,14.38330576,5.862576171,16.39199369,16.47199515,6.849147426,15.017148,10.6936037
E07000068,Brentwood,6.43150819,1.501011551,8.673236311,14.86327743,10.83662571,5.097708345,15.55549517,11.70136396,10.75121262,10.07949546,6.187805661
E07000069,Castle Point,4.429198683,1.706915477,9.30845225,16.77552141,18.13228422,6.155873494,19.0294395,5.348518112,4.622149504,15.62529013,10.91665893
E07000070,Chelmsford,5.776048918,2.157405945,8.81766116,15.67600155,11.08959949,5.467929684,14.44358624,13.09084646,9.69639356,12.25695876,7.96892306
E07000071,Colchester,7.334505961,1.80919675,9.936622274,20.57821705,12.01114626,6.504788732,15.7984446,13.49778038,12.49234432,14.18848493,8.623854638
E07000072,Epping Forest,6.428035622,1.865707526,9.982496971,15.31995922,14.95111044,5.857060959,15.72369424,15.00836683,14.7811229,10.89139503,7.758601664
E07000073,Harlow,10.0028885,1.031195841,13.10514154,24.91623339,16.97816362,8.018790754,17.09460119,31.21894858,16.14395197,16.2760572,13.56593772
E07000074,Maldon,3.548049735,2.43637913,7.421466476,12.57698416,14.67863648,5.077356759,17.42361551,10.40012395,4.24800013,13.87702066,9.278509448
E07000075,Rochford,4.2813729,1.513526397,7.844714575,14.52151114,13.00589239,5.128825451,16.95582744,7.588487665,4.393242643,13.1584609,8.168804303
E07000076,Tendring,5.073665566,2.635858627,9.754448112,23.35077691,21.13344072,8.716395041,25.54328929,8.442154416,4.623029671,18.5945389,12.79443586
E07000077,Uttlesford,4.135266318,1.465704432,7.376420999,10.05875591,10.13166346,4.120716818,13.64500334,12.6484864,7.701119041,11.01320814,7.397610623
E07000095,Broxbourne,9.650007966,2.055340167,11.77173509,17.53943385,16.30285119,6.630929039,15.25601171,14.0660683,19.17871145,13.87594491,10.82116599
E07000096,Dacorum,6.264806967,1.561613667,10.00367046,16.41529581,11.48227712,5.720106359,14.73002548,21.76415629,14.02169185,11.81400249,8.779810363
E07000097,East Hertfordshire,6.156211888,1.758665182,7.886597027,12.77197448,10.06345206,4.34764714,13.10581246,12.69950687,9.747470713,10.24846892,7.49203241
E07000098,Hertsmere,8.248277943,1.463120318,10.81250943,17.01694404,11.91094737,5.897349081,14.86439204,17.42671829,24.27347522,10.82630644,7.087021577
E07000099,North Hertfordshire,5.772470333,1.671470819,8.946954666,16.64919702,10.20984915,5.3137187,15.0903913,19.28648972,15.1242192,11.96481259,8.498524751
E07000100,St Albans,6.674385465,1.353758461,7.915924475,13.54827218,7.229716036,4.3395756,12.86398794,12.16957606,18.85272707,8.454582778,5.399397174
E07000101,Stevenage,7.888704224,0.939881942,12.42764628,22.75202017,13.41237226,7.505322924,15.73067165,28.37411886,16.8848339,15.3046501,11.01200236
E07000102,Three Rivers,6.306254985,1.509627435,9.504956135,14.15631765,10.54742075,5.055525703,14.458811,15.14754472,20.34769862,10.27866752,6.755285074
E07000103,Watford,14.0017993,2.663504267,10.66219569,22.15315831,11.16249876,6.273159336,13.62111162,16.32180148,38.12360882,12.43418571,8.867767972
E07000104,Welwyn Hatfield,9.072982826,1.123518217,9.70123587,20.28523605,10.37450633,7.268034725,14.39182159,26.92087222,23.50205817,11.42257772,8.172829207
E07000143,Breckland,4.326931895,1.944276307,8.455767714,15.52119445,17.92639444,5.911535015,19.65269635,13.77684844,8.780682193,17.81664118,14.24248216
